,date,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
2,1928,,,"0,0","2,0","3,9","1,9","0,0","0,0","7,4","-5,2","0,0","-1,8"
3,1929,"-3,7","0,0","0,0","0,0","1,9","3,8","0,0","1,8","3,6","-3,4","1,8","1,7"
4,1930,"-8,6","-1,9","0,0","1,9","1,9","1,8","0,0","0,0","0,0","1,8","0,0","-1,8"
5,1931,"-3,6","-3,8","2,0","-1,9","3,9","1,9","1,8","0,0","0,0","-1,8","0,0","1,8"
6,1932,"-10,9","0,0","4,1","2,0","3,8","1,8","0,0","5,5","12,1","1,5","1,5","1,5"
7,1933,"0,0","0,0","0,0","1,5","2,9","1,4","0,0","1,4","1,4","-1,4","-2,7","0,0"
8,1934,"-2,8","-1,5","1,5","1,4","1,4","0,0","1,4","-1,4","2,8","-2,7","2,8","1,4"
9,1935,"0,0","-4,1","0,0","1,4","0,0","0,0","1,4","-1,4","1,4","0,0","0,0","0,0"
10,1936,"0,0","1,4","1,3","1,3","2,6","1,3","1,3","0,0","1,2","2,5","-1,2","0,0"
11,1937,"0,0","-2,4","3,7","3,6","2,3","2,3","1,1","1,1","1,1","0,0","0,0","-3,2"
12,1938,"-1,1","0,0","1,1","2,2","2,2","0,0","0,0","-1,1","1,1","0,0","0,0","-2,1"
13,1939,"-2,2","-2,2","2,3","3,3","1,1","0,0","-1,1","0,0","1,1","3,2","2,1","0,0"
14,1940,"-3,0","2,1","1,0","3,0","1,0","3,9","-0,9","1,9","4,6","0,9","-1,8","-3,6"
15,1941,"0,0","1,8","2,7","1,8","3,5","1,7","0,8","1,6","4,8","1,5","-0,8","1,5"
16,1942,"0,8","2,2","4,3","4,2","2,0","-0,7","0,7","3,3","1,9","3,5","0,0","0,8"
17,1943,"-1,7","1,8","1,2","4,2","2,3","1,7","-1,1","0,0","1,1","0,5","-0,5","-1,6"
18,1944,"1,7","-1,1","1,7","3,8","2,6","-1,0","0,5","2,6","5,0","4,2","0,0","-5,5"
19,1945,"-0,5","0,5","1,0","1,0","0,5","0,9","0,0","0,9","4,1","3,1","-5,2","1,4"
20,1946,"1,4","-0,9","0,9","2,2","2,2","3,4","1,6","3,2","4,7","3,0","0,7","4,3"
21,1947,"5,2","-0,7","4,6","1,9","2,8","0,3","1,8","2,3","1,2","-0,6","2,0","0,3"
22,1948,"0,8","2,2","2,2","1,6","0,3","0,8","2,6","2,8","3,2","0,0","-0,7","0,0"
23,1949,"2,4","0,7","1,4","4,8","1,1","1,3","0,2","2,1","0,4","3,9","1,0","-0,4"
24,1950,"0,0","-1,2","1,8","1,2","1,2","1,7","1,9","1,3","0,5","10,2","-2,1","-0,7"
25,1951,"-0,2","2,2","0,8","0,7","2,5","2,1","3,1","5,2","6,1","1,6","-3,2","0,6"
26,1952,"0,3","0,7","1,9","2,3","5,5","0,8","2,7","1,1","3,5","0,7","-1,0","-6,5"
27,1953,"4,5","0,8","0,4","1,3","2,2","3,3","7,2","6,5","9,1","5,5","4,2","0,9"
28,1954,"4,6","1,5","7,4","7,6","3,3","4,2","4,7","8,5","3,2","4,4","3,6","2,3"
29,1955,"3,4","4,5","6,4","8,9","4,7","4,6","2,2","3,9","7,7","6,0","6,1","4,2"
30,1956,"3,6","1,0","1,3","2,3","2,1","2,7","2,6","5,2","7,2","5,2","-0,3","-0,3"
31,1957,"-0,4","0,4","2,6","5,0","2,2","3,7","4,6","2,6","12,2","-6,5","-6,5","-2,4"
32,1958,"3,1","3,3","2,8","2,9","2,6","1,3","1,2","2,5","2,3","2,3","2,6","1,7"
33,1959,"3,2","4,6","4,7","3,8","3,2","2,2","4,2","2,3","1,4","2,5","-2,1","-0,6"
34,1960,"1,3","0,2","0,5","-0,9","0,4","-0,2","2,4","1,4","1,1","0,2","-0,2","-0,9"
35,1961,"1,8","0,4","0,7","0,5","0,7","0,3","1,3","1,1","1,3","0,9","-0,1","0,2"
