,date,I,II,III,IV
2,1996,20.265,20.369,19.581,21.421
3,1997,21.401,21.756,21.178,23.335
4,1998,23.040,23.266,22.010,23.018
5,1999,22.457,22.515,21.857,24.257
6,2000,23.759,23.830,22.949,25.075
7,2001,24.563,24.834,23.583,25.649
8,2002,24.856,25.476,24.580,26.875
9,2003,26.182,26.787,25.709,27.918
10,2004,27.417,28.299,27.622,30.373
11,2005,29.114,29.981,29.203,32.051
12,2006,30.847,31.880,30.845,34.057
13,2007,32.552,33.625,32.346,35.701
14,2008,34.538,35.308,33.496,35.969
15,2009,33.758,34.311,33.255,36.429
16,2010,34.410,36.512,35.749,39.143
17,2011,37.427,38.796,37.359,41.308
18,2012,39.680,41.317,39.836,43.591
19,2013,41.322,42.736,41.003,44.804
20,2014,42.332,43.460,41.541,45.576
21,2015,43.393,44.344,42.487,46.407
22,2016,44.672,44.901,43.332,46.821
23,2017,44.512,45.205,44.141,48.309
24,2018,46.465,47.664,45.240,50.065
25,2019,47.107,48.324,46.662,48.749
26,2020,47.148,41.155,42.145,48.666
27,2021,47.096,48.844,49.358,54.840
28,2022,50.613,51.361,49.460,53.589
