,date,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
2,2010,,,"9,23","8,84","9,09","8,66","8,51","8,44","8,12","7,81","7,23","7,21"
3,2011,"7,44","7,44","7,55","7,21","7,30","7,21","7,55","7,51","7,63","7,44","7,33","6,81"
4,2012,"6,85","6,53","6,80","6,76","6,94","6,78","6,66","6,54","6,58","6,69","6,36","6,22"
5,2013,"6,12","6,35","6,43","6,54","6,54","6,26","5,88","5,85","5,86","5,95","5,86","5,78"
6,2014,"6,23","6,18","6,50","6,14","6,32","6,52","6,59","6,83","6,76","6,56","6,21","6,21"
7,2015,"6,23","6,22","6,23","6,36","6,75","6,67","6,69","6,56","6,54","6,45","6,17","5,87"
8,2016,"5,92","6,05","6,49","6,61","7,03","7,02","7,27","7,07","7,03","6,68","6,40","6,20"
9,2017,"6,37","6,77","7,04","7,08","7,33","7,31","7,22","6,91","7,00","6,98","6,70","6,51"
10,2018,"6,83","7,01","7,38","6,99","7,38","7,51","7,85","7,72","7,47","7,41","7,31","7,15"
11,2019,"7,13","7,03","7,24","7,10","7,23","7,25","7,55","7,57","7,34","7,14","6,96","7,06"
12,2020,"7,44","7,81","8,23","9,00","11,21","12,22","13,09","12,91","12,35","11,58","10,76","10,29"
13,2021,"10,23","10,30","10,35","10,24","10,04","9,50","8,93","8,55","8,41","8,08","7,53","7,19"
14,2022,"7,27","7,50","7,80","7,75","7,80","7,81","7,92","7,93","8,04","7,97","7,95","7,86"
15,2023,"8,04","8,37",,,,,,,,,,
