,date,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
2,1,,"11,25","11,25",,,,,,,,,
3,2,,"11,25","11,25",,,,,,,,,
4,3,"11,25","11,25","11,25","11,25",,,,,,,,
5,4,"11,25",,,"11,25",,,,,,,,
6,5,"11,25",,,"11,25",,,,,,,,
7,6,"11,25","11,25","11,25","11,25",,,,,,,,
8,7,,"11,25","11,25",,,,,,,,,
9,8,,"11,25","11,25",,,,,,,,,
10,9,"11,25","11,25","11,25",,,,,,,,,
11,10,"11,25","11,25","11,25","11,25",,,,,,,,
12,11,"11,25",,,"11,25",,,,,,,,
13,12,"11,25",,,"11,25",,,,,,,,
14,13,"11,25","11,25","11,25","11,25",,,,,,,,
15,14,,"11,25","11,25","11,25",,,,,,,,
16,15,,"11,25","11,25",,,,,,,,,
17,16,"11,25","11,25","11,25",,,,,,,,,
18,17,"11,25","11,25","11,25","11,25",,,,,,,,
19,18,"11,25",,,"11,25",,,,,,,,
20,19,"11,25",,,"11,25",,,,,,,,
21,20,"11,25","11,25","11,25","11,25",,,,,,,,
22,21,,"11,25","11,25","11,25",,,,,,,,
23,22,,"11,25","11,25",,,,,,,,,
24,23,"11,25","11,25","11,25",,,,,,,,,
25,24,"11,25","11,25","11,25","11,25",,,,,,,,
26,25,"11,25",,,"11,25",,,,,,,,
27,26,"11,25",,,,,,,,,,,
28,27,"11,25","11,25","11,25",,,,,,,,,
29,28,,"11,25","11,25",,,,,,,,,
30,29,,,"11,25",,,,,,,,,
31,30,"11,25",,"11,25",,,,,,,,,
32,31,"11,25",,"11,25",,,,,,,,,
